id,u,v,geometry,total_tracks,list_tracks,weight
1381,281333485,8725731495,"LINESTRING (2.6738309 42.476379, 2.6737891 42.4763007, 2.6737554 42.4762858, 2.6737167 42.4762969, 2.6736089 42.4763851, 2.6735567 42.4764236, 2.673454 42.4764434, 2.6733766 42.4764285, 2.6732992 42.4763863, 2.6732823 42.4763106, 2.6733311 42.476248)",1,['187697056'],1
1382,281333497,662339388,"LINESTRING (2.6728431 42.4772919, 2.6728446 42.4772048, 2.6728655 42.4771268, 2.6729024 42.4770524, 2.6729226 42.4769878, 2.6729593 42.4769205, 2.6730525 42.4768172, 2.6731738 42.4767357, 2.673349 42.4766413, 2.6734634 42.4765904, 2.673579 42.4765365, 2.6736298 42.4765106)",1,['187697056'],1
1383,281333497,11087158821,"LINESTRING (2.6728431 42.4772919, 2.67282 42.4773421, 2.6722712 42.478532)",1,['187697056'],1
1384,281333520,660796864,"LINESTRING (2.6718961 42.4813494, 2.6719074 42.4813982, 2.6719322 42.4814477, 2.6719632 42.481522, 2.6719963 42.481589, 2.6721307 42.4818211, 2.6721867 42.4818952, 2.6722381 42.4819624, 2.6723243 42.4820742, 2.6724046 42.4821648, 2.6724723 42.4822294, 2.6725814 42.4823044, 2.6727043 42.4823589, 2.6729711 42.482472, 2.6731836 42.4825704)",1,['187697056'],1
1386,281333520,5320555765,"LINESTRING (2.6718961 42.4813494, 2.6718524 42.4811927)",1,['187697056'],1
1449,281942373,281942401,"LINESTRING (2.672124 42.4837997, 2.672362 42.4838268)",1,['187697056'],1
1450,281942392,11019950037,"LINESTRING (2.6744161 42.4842985, 2.6745815 42.4842832)",1,['187697056'],1
1451,281942392,281942508,"LINESTRING (2.6744161 42.4842985, 2.6744456 42.484233, 2.6744711 42.4842254, 2.6745305 42.4842095, 2.6745773 42.4841714, 2.674648 42.48414, 2.6747913 42.4841208, 2.6749492 42.4840833)",1,['187697056'],1
1454,281942397,11019950035,"LINESTRING (2.6742071 42.484301, 2.6743381 42.4844285, 2.6744158 42.4845011)",1,['187697056'],1
1455,281942397,281942398,"LINESTRING (2.6742071 42.484301, 2.6740751 42.4842716, 2.6738663 42.4841702, 2.6738017 42.4841224)",1,['187697056'],1
1456,281942398,281942460,"LINESTRING (2.6738017 42.4841224, 2.6736364 42.4839893, 2.673379 42.483845, 2.6731468 42.4837457, 2.6731032 42.4837389, 2.6730744 42.4837268)",1,['187697056'],1
1459,281942401,281942460,"LINESTRING (2.672362 42.4838268, 2.6724688 42.4838441, 2.6725346 42.4838399, 2.6728119 42.4837764, 2.673046 42.4837449, 2.6730744 42.4837268)",1,['187697056'],1
1460,281942417,281942420,"LINESTRING (2.6750411 42.483841, 2.6748988 42.4838216, 2.674535 42.4838344)",1,['187697056'],1
1462,281942417,1664669755,"LINESTRING (2.6750411 42.483841, 2.6752785 42.4838786)",1,['187697056'],1
1463,281942420,281942509,"LINESTRING (2.674535 42.4838344, 2.6745038 42.4839506)",1,['187697056'],1
1467,281942423,660796864,"LINESTRING (2.6743096 42.4837517, 2.6741247 42.4837302, 2.6740915 42.4837031, 2.673778 42.4835482, 2.6736736 42.4835247, 2.673492 42.4834747, 2.6733323 42.483401, 2.6732151 42.4833554, 2.6730508 42.4833098, 2.6729928 42.4832749, 2.67289 42.4832514, 2.6728404 42.4832358, 2.6727636 42.4832131, 2.6726919 42.4832052, 2.6726122 42.4831972, 2.6726108 42.4831831, 2.6726191 42.4831379, 2.6726121 42.48308, 2.6726416 42.4829896, 2.6727567 42.4828961, 2.6728657 42.4828014, 2.6729821 42.4827418, 2.6731427 42.4826802, 2.6731836 42.4825704)",1,['187697056'],1
1469,281942428,11020173956,"LINESTRING (2.6748994 42.4836098, 2.6750596 42.4836567, 2.6753144 42.4837309, 2.6757382 42.4838397, 2.675875 42.4838763, 2.6760248 42.4838777)",1,['187697056'],1
1473,281942458,11019887475,"LINESTRING (2.6732385 42.4846468, 2.6730158 42.4845998, 2.6723151 42.48441, 2.672164 42.4843524, 2.6721191 42.484324)",1,['187697056'],1
1475,281942460,281942493,"LINESTRING (2.6730744 42.4837268, 2.6731061 42.4837066, 2.6731652 42.4837129, 2.6732634 42.483746, 2.6733527 42.4837602, 2.6735467 42.4837528)",1,['187697056'],1
1476,281942484,281942521,"LINESTRING (2.6753761 42.4842758, 2.6752895 42.4842507, 2.6752181 42.4842198, 2.6751442 42.4842291)",1,['187697056'],1
