id,u,v,geometry
39,506850831,510890498,"LINESTRING (2.4359414 41.8539096, 2.4360169 41.8539271, 2.4360658 41.8539294, 2.4361329 41.8539298, 2.4362848 41.8539173, 2.4364633 41.8538994, 2.4365974 41.8538899, 2.4366962 41.8538842, 2.4368153 41.8538813, 2.4369042 41.8538863, 2.4369888 41.8538933, 2.4370806 41.8539057, 2.4371692 41.8539187, 2.4372406 41.8539336, 2.437357 41.853964, 2.4376896 41.8540438, 2.4378025 41.8540693, 2.4378633 41.8540795)"
40,506850881,5003492371,"LINESTRING (2.4066768 41.8458098, 2.4068031 41.845734, 2.406966 41.8456559, 2.4073177 41.8455101, 2.4075843 41.8454243)"
41,506850881,8427018140,"LINESTRING (2.4066768 41.8458098, 2.4071187 41.8463255, 2.4079896 41.8473341, 2.4080862 41.8474466, 2.4084879 41.8479053, 2.4089916 41.848493)"
42,506850881,506851024,"LINESTRING (2.4066768 41.8458098, 2.4065894 41.8456947, 2.4065265 41.845591, 2.406426 41.845367, 2.4063903 41.8452481, 2.4063662 41.8450956)"
43,506850937,7925498311,"LINESTRING (2.4032405 41.8398517, 2.4033521 41.8400474)"
44,506850937,12323931348,"LINESTRING (2.4032405 41.8398517, 2.4030618 41.839829, 2.4029875 41.8397552)"
45,506850937,12323931022,"LINESTRING (2.4032405 41.8398517, 2.4031711 41.8396591, 2.4031153 41.8394158, 2.4030881 41.8391623, 2.403084 41.8388825, 2.4030881 41.8384395, 2.4030816 41.8382787)"
46,506850994,12323931022,"LINESTRING (2.4033902 41.8333256, 2.4037263 41.8338102, 2.4038855 41.8340454, 2.4039998 41.8342492, 2.4041277 41.8344814, 2.4043005 41.8347937, 2.4045958 41.8353239, 2.4047088 41.8355409, 2.404755 41.8356362, 2.40477 41.8357001, 2.4047986 41.8358288, 2.4047876 41.835926, 2.4047496 41.8360296, 2.4046604 41.8361297, 2.4045319 41.8362222, 2.4043495 41.8363256, 2.4041726 41.8364189, 2.4040638 41.8364828, 2.4039658 41.8365618, 2.4039114 41.8366257, 2.4038909 41.8366653, 2.4038365 41.8367666, 2.4036936 41.8370647, 2.4036106 41.8371945, 2.4034337 41.837451, 2.403201 41.8377957, 2.4031344 41.8379326, 2.4030963 41.8380664, 2.4030786 41.8382043, 2.4030816 41.8382787)"
47,506850994,5325291772,"LINESTRING (2.4033902 41.8333256, 2.4033453 41.8332232, 2.403333 41.8331208, 2.4033398 41.8329808, 2.4033834 41.8328723, 2.4034473 41.8327639, 2.403529 41.832655, 2.404184 41.831844, 2.404305 41.831657, 2.404708 41.831011, 2.4047992 41.8309103, 2.404968 41.8307797, 2.405545 41.8305404, 2.4058047 41.8304524, 2.406078 41.830403, 2.4062995 41.8303908, 2.406528 41.8304134, 2.407055 41.830516, 2.4073957 41.8305293, 2.408053 41.830463, 2.408494 41.8304146, 2.4086724 41.8303806, 2.4088267 41.8303346, 2.408987 41.8302696, 2.4091754 41.8301868, 2.409337 41.830094, 2.4093911 41.8300406, 2.4094425 41.8299792, 2.4094706 41.8299341, 2.4094866 41.8298821, 2.4094976 41.8297525, 2.4095006 41.829613, 2.409466 41.829272, 2.409385 41.828866, 2.4093264 41.8287064, 2.409206 41.8284613, 2.409123 41.828258, 2.4090555 41.8280521, 2.409002 41.827801, 2.409012 41.827613, 2.4091334 41.8271037, 2.409204 41.826787, 2.4092201 41.8266114)"
48,506850994,2490079458,"LINESTRING (2.4033902 41.8333256, 2.4032599 41.8332592, 2.4031769 41.8332077, 2.4029362 41.8330469, 2.4028836 41.8329026, 2.4030524 41.8327335, 2.4030496 41.8325831, 2.4030856 41.832447, 2.4032212 41.8321131, 2.4031903 41.8320311)"
